"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","North West (England)","AA","Male","90","[c]","19960","19930"
"Leaver CS","2023","North West (England)","AO","Female","1260","[c]","21750","21690"
"Leaver CS","2023","North West (England)","AO","Male","925","[c]","22100","21690"
"Leaver CS","2023","North West (England)","EO","Female","640","[c]","27370","27570"
"Leaver CS","2023","North West (England)","EO","Male","490","[c]","27570","27570"
"Leaver CS","2023","North West (England)","G6","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","North West (England)","G6","Male","55","[c]","70210","69820"
"Leaver CS","2023","North West (England)","G7","Female","110","[c]","56220","55420"
"Leaver CS","2023","North West (England)","G7","Male","135","[c]","58230","56450"
"Leaver CS","2023","North West (England)","HEO","Female","260","[c]","32850","33180"
"Leaver CS","2023","North West (England)","HEO","Male","220","[c]","34050","33780"
"Leaver CS","2023","North West (England)","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","North West (England)","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","North West (England)","SEO","Female","195","[c]","40750","39330"
"Leaver CS","2023","North West (England)","SEO","Male","185","[c]","41900","40520"
"Leaver CS","2023","North West (England)","Unknown","Female","215","[c]","[c]","[c]"
"Leaver CS","2023","North West (England)","Unknown","Male","100","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","AA","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","AO","Female","60","[c]","22690","22400"
"Leaver CS","2023","Northern Ireland","AO","Male","50","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","EO","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","EO","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","G7","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","HEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","HEO","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","SEO","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland","SEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","G6","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","G6","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","G7","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","G7","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","HEO","Female","40","[c]","45690","45660"
"Leaver CS","2023","Overseas","HEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","SEO","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","Unknown","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Scotland","AA","Female","180","[c]","22670","22460"
"Leaver CS","2023","Scotland","AA","Male","190","[c]","22650","22180"
"Leaver CS","2023","Scotland","AO","Female","800","[c]","23190","21690"
"Leaver CS","2023","Scotland","AO","Male","625","[c]","25010","23210"
"Leaver CS","2023","Scotland","EO","Female","485","[c]","29140","28120"
"Leaver CS","2023","Scotland","EO","Male","485","[c]","31100","29270"
"Leaver CS","2023","Scotland","G6","Female","55","[c]","74510","78140"
"Leaver CS","2023","Scotland","G6","Male","60","[c]","74080","79110"
"Leaver CS","2023","Scotland","G7","Female","95","[c]","57180","56260"
"Leaver CS","2023","Scotland","G7","Male","100","[c]","58630","58480"
"Leaver CS","2023","Scotland","HEO","Female","230","[c]","36330","34880"
"Leaver CS","2023","Scotland","HEO","Male","235","[c]","37620","35210"
"Leaver CS","2023","Scotland","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Scotland","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Scotland","SEO","Female","140","[c]","44700","42860"
"Leaver CS","2023","Scotland","SEO","Male","180","[c]","46420","47490"
