"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","30-39","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","10","[c]","40080","40960"
"Leaver CS","2023","30-39","Digital, Data & Technology","HM Land Registry","HM Land Registry","20","[c]","39900","39460"
"Leaver CS","2023","30-39","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","35","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Home Office","Home Office","45","[c]","44770","43210"
"Leaver CS","2023","30-39","Digital, Data & Technology","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","30","[c]","33670","33430"
"Leaver CS","2023","30-39","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","30","[c]","36260","33150"
"Leaver CS","2023","30-39","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","50","[c]","54190","57300"
"Leaver CS","2023","30-39","Digital, Data & Technology","National Crime Agency","National Crime Agency","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","10","[c]","40530","43150"
"Leaver CS","2023","30-39","Digital, Data & Technology","UK Statistics Authority","UK Statistics Authority","30","[c]","41150","37760"
"Leaver CS","2023","30-39","Digital, Data & Technology","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Cabinet Office (excl. agencies)","Cabinet Office","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Central Civil Service Fast Stream","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Defence Equipment and Support","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Department for Transport (excl. agencies)","Department for Transport","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","25","[c]","47040","43760"
"Leaver CS","2023","30-39","Finance","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Estyn","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","HM Treasury (excl. agencies)","HM Treasury","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Home Office","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","20","[c]","40570","40000"
"Leaver CS","2023","30-39","Finance","Ministry of Justice (excl. agencies)","Ministry of Justice","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Grants Management","Rural Payments Agency","Department for Environment, Food and Rural Affairs","35","[c]","23700","22150"
"Leaver CS","2023","30-39","Human Resources","Cabinet Office (excl. agencies)","Cabinet Office","20","[c]","39820","35160"
"Leaver CS","2023","30-39","Human Resources","Companies House","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Defence Equipment and Support","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Defence Science and Technology Laboratory","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Department for International Trade","Department for International Trade","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10","[c]","31400","28340"
"Leaver CS","2023","30-39","Human Resources","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","HM Land Registry","HM Land Registry","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Home Office","Home Office","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
