"Status","Year","Age","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","50-59","Vehicle Certification Agency","Department for Transport","Outside London","40","40","38490","34970"
"In post","2023","50-59","Vehicle Certification Agency","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","45","40","44230","40260"
"In post","2023","50-59","Water Services Regulation Authority","Water Services Regulation Authority","London","15","15","99990","105190"
"In post","2023","50-59","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","40","40","57700","56100"
"In post","2023","50-59","Welsh Government (excl. agencies)","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Welsh Government (excl. agencies)","Welsh Government","Outside London","1735","1670","47680","45970"
"In post","2023","50-59","Welsh Government (excl. agencies)","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Welsh Revenue Authority","Welsh Government","Outside London","15","15","48960","49370"
"In post","2023","50-59","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","25","20","39330","33630"
"In post","2023","60-64","Accountant in Bankruptcy","Scottish Government","Outside London","10","10","36530","31940"
"In post","2023","60-64","Active Travel England","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","20","15","43910","36750"
"In post","2023","60-64","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","85","65","34760","35190"
"In post","2023","60-64","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","230","205","31980","26850"
"In post","2023","60-64","Building Digital UK","Department for Digital, Culture, Media and Sport","London","5","5","[c]","[c]"
"In post","2023","60-64","Building Digital UK","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Cabinet Office (excl. agencies)","Cabinet Office","London","125","115","60910","56430"
"In post","2023","60-64","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","130","110","35060","34320"
"In post","2023","60-64","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","50","40","41680","37670"
"In post","2023","60-64","Charity Commission","Charity Commission","London","5","5","[c]","[c]"
"In post","2023","60-64","Charity Commission","Charity Commission","Outside London","40","35","32900","30170"
"In post","2023","60-64","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","125","105","28130","23240"
"In post","2023","60-64","Competition and Markets Authority","Competition and Markets Authority","London","25","25","62830","55950"
"In post","2023","60-64","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","35","30","27240","25830"
"In post","2023","60-64","Crown Commercial Service","Cabinet Office","London","5","5","[c]","[c]"
"In post","2023","60-64","Crown Commercial Service","Cabinet Office","Outside London","35","35","42970","41000"
"In post","2023","60-64","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","150","125","40400","31540"
"In post","2023","60-64","Crown Prosecution Service","Attorney General's Departments","London","150","135","49660","54630"
"In post","2023","60-64","Crown Prosecution Service","Attorney General's Departments","Outside London","350","290","44220","45130"
"In post","2023","60-64","Defence Electronics and Components Agency","Ministry of Defence","Outside London","65","60","28850","30060"
"In post","2023","60-64","Defence Equipment and Support","Ministry of Defence","London","35","35","29970","27090"
"In post","2023","60-64","Defence Equipment and Support","Ministry of Defence","Outside London","960","870","40870","39460"
"In post","2023","60-64","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","290","250","46160","49260"
"In post","2023","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","165","150","50020","44460"
"In post","2023","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","35","30","45610","48470"
"In post","2023","60-64","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","35","35","55710","53030"
"In post","2023","60-64","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Department for Education (excl. agencies)","Department for Education","London","90","80","51280","48620"
"In post","2023","60-64","Department for Education (excl. agencies)","Department for Education","Outside London","195","180","46670","42970"
"In post","2023","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","95","90","44180","41270"
"In post","2023","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","180","170","41290","37820"
"In post","2023","60-64","Department for International Trade","Department for International Trade","London","80","80","50240","44870"
"In post","2023","60-64","Department for International Trade","Department for International Trade","Outside London","50","45","44620","42790"
"In post","2023","60-64","Department for International Trade","Department for International Trade","Overseas","5","5","[c]","[c]"
"In post","2023","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","70","65","49850","48720"
"In post","2023","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","60","55","43720","37540"
"In post","2023","60-64","Department for Transport (excl. agencies)","Department for Transport","London","120","110","48710","38480"
"In post","2023","60-64","Department for Transport (excl. agencies)","Department for Transport","Outside London","30","30","57430","50540"
"In post","2023","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","985","830","34090","32520"
"In post","2023","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","9255","7120","27630","28120"
"In post","2023","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","30","25","37610","31150"
"In post","2023","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","65","55","52800","46000"
"In post","2023","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","65","55","50490","44780"
"In post","2023","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Disclosure Scotland","Scottish Government","Outside London","30","25","28940","24890"
"In post","2023","60-64","Driver and Vehicle Licensing Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","585","435","26270","22500"
"In post","2023","60-64","Driver and Vehicle Standards Agency","Department for Transport","London","60","55","32820","31450"
"In post","2023","60-64","Driver and Vehicle Standards Agency","Department for Transport","Outside London","650","570","29380","27450"
"In post","2023","60-64","Education Scotland","Scottish Government","Outside London","35","30","65390","79110"
