"Status","Year","Function_of_post","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Office of Rail and Road","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Registers of Scotland","Scottish Government","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Scottish Prison Service","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","Digital, Data and Technology","10","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","The National Archives","The National Archives","Digital, Data and Technology","20","[c]","36610","36720"
"Leaver CS","2023","Digital, Data & Technology","The National Archives","The National Archives","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","UK Debt Management Office","HM Treasury","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","UK Export Finance","UK Export Finance","Digital, Data and Technology","15","[c]","54630","43000"
"Leaver CS","2023","Digital, Data & Technology","UK Health Security Agency","Department of Health and Social Care","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","Digital, Data and Technology","20","[c]","40420","43150"
"Leaver CS","2023","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","UK Statistics Authority","UK Statistics Authority","Digital, Data and Technology","85","[c]","40290","37690"
"Leaver CS","2023","Digital, Data & Technology","UK Supreme Court","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","UK Supreme Court","UK Supreme Court","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Valuation Office Agency","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Vehicle Certification Agency","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Wilton Park","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","15","[c]","47470","40600"
"Leaver CS","2023","Finance","Central Civil Service Fast Stream","Cabinet Office","Finance","10","[c]","32630","33250"
"Leaver CS","2023","Finance","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Charity Commission","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Companies House","Department for Business, Energy and Industrial Strategy","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Crown Commercial Service","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Crown Prosecution Service","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Defence Electronics and Components Agency","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Defence Equipment and Support","Ministry of Defence","Finance","30","[c]","37530","32340"
"Leaver CS","2023","Finance","Defence Science and Technology Laboratory","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","10","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Department for Education (excl. agencies)","Department for Education","Finance","15","[c]","42360","43910"
"Leaver CS","2023","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Finance","15","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Department for International Trade","Department for International Trade","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Department for International Trade","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Finance","10","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Department for Transport (excl. agencies)","Department for Transport","Finance","15","[c]","50970","46710"
"Leaver CS","2023","Finance","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Finance","125","[c]","38050","34170"
"Leaver CS","2023","Finance","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Driver and Vehicle Licensing Agency","Department for Transport","Finance","10","[c]","26500","24060"
"Leaver CS","2023","Finance","Driver and Vehicle Standards Agency","Department for Transport","Finance","10","[c]","43950","33850"
"Leaver CS","2023","Finance","Education and Skills Funding Agency","Department for Education","Finance","10","[c]","59180","51360"
"Leaver CS","2023","Finance","Estyn","Estyn","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","FCDO Services","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Food Standards Agency","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Government Legal Department","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","HM Courts and Tribunals Service","Ministry of Justice","Finance","10","[c]","[c]","[c]"
"Leaver CS","2023","Finance","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Finance","HM Land Registry","HM Land Registry","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Finance","80","[c]","[c]","[c]"
"Leaver CS","2023","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","80","[c]","[c]","[c]"
"Leaver CS","2023","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Other","10","[c]","[c]","[c]"
"Leaver CS","2023","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","HM Treasury (excl. agencies)","HM Treasury","Finance","15","[c]","43350","42920"
"Leaver CS","2023","Finance","Health and Safety Executive","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Home Office","Home Office","Finance","10","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Home Office","Home Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Institute for Apprenticeships and Technical Education","Department for Education","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Maritime and Coastguard Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Met Office","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","Finance","185","[c]","40980","36460"
"Leaver CS","2023","Finance","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","40","[c]","44250","42480"
"Leaver CS","2023","Finance","National Crime Agency","National Crime Agency","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Finance","National Savings and Investments","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Office of Rail and Road","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Registers of Scotland","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Scottish Courts and Tribunals Service","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Scottish Prison Service","Scottish Government","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Serious Fraud Office","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Submarine Delivery Agency","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
