"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Undeclared","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Economics","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","AO","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","AO","[c]","[c]","[c]","[c]"
