"Status","Year","Age","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Unknown","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","No function","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Analysis","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Debt","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Digital, Data & Technology","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Finance","15","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","No function","395","370","23290","22500"
"In post","2023","16-19","Unknown","Unknown","Project Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Property","30","30","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Security","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","65","60","21060","22180"
"In post","2023","16-19","Unknown","White","Analysis","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","Digital, Data & Technology","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","White","Finance","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","No function","65","60","22200","22270"
"In post","2023","16-19","Unknown","White","Project Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","White","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Analysis","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Commercial","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Communications","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Counter Fraud","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Debt","20","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Digital, Data & Technology","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Finance","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Human Resources","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Legal","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","No function","270","260","30330","28240"
"In post","2023","20-29","Declared disabled","Asian","Project Delivery","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Security","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Unknown","35","35","31700","30130"
"In post","2023","20-29","Declared disabled","Black","Analysis","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Counter Fraud","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Debt","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Digital, Data & Technology","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Human Resources","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Legal","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","No function","150","150","30910","31040"
"In post","2023","20-29","Declared disabled","Black","Project Delivery","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Analysis","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Commercial","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Counter Fraud","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Digital, Data & Technology","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Finance","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Human Resources","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","No function","195","190","31030","28880"
"In post","2023","20-29","Declared disabled","Mixed","Project Delivery","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Property","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Unknown","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","No function","35","35","32860","32520"
"In post","2023","20-29","Declared disabled","Other ethnicity","Project Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Analysis","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Digital, Data & Technology","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","No function","55","55","28990","28480"
"In post","2023","20-29","Declared disabled","Undeclared","Project Delivery","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Digital, Data & Technology","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","No function","110","110","31130","28850"
"In post","2023","20-29","Declared disabled","Unknown","Project Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","White","Analysis","255","250","36590","35000"
"In post","2023","20-29","Declared disabled","White","Commercial","80","80","36430","32500"
"In post","2023","20-29","Declared disabled","White","Communications","40","40","33970","32660"
"In post","2023","20-29","Declared disabled","White","Counter Fraud","115","110","30390","28120"
"In post","2023","20-29","Declared disabled","White","Debt","70","65","22690","22520"
"In post","2023","20-29","Declared disabled","White","Digital, Data & Technology","255","250","34340","33190"
"In post","2023","20-29","Declared disabled","White","Finance","80","80","31160","28440"
"In post","2023","20-29","Declared disabled","White","Grants Management","55","50","23360","22150"
"In post","2023","20-29","Declared disabled","White","Human Resources","140","135","34220","31060"
"In post","2023","20-29","Declared disabled","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","White","Legal","110","105","31250","27520"
"In post","2023","20-29","Declared disabled","White","No function","3210","3145","29930","28120"
"In post","2023","20-29","Declared disabled","White","Project Delivery","260","260","33670","31920"
"In post","2023","20-29","Declared disabled","White","Property","60","55","32180","29120"
"In post","2023","20-29","Declared disabled","White","Security","70","70","32570","31020"
"In post","2023","20-29","Declared disabled","White","Unknown","445","440","31690","30130"
